l_c_x,l_c_y,l_r_x,l_r_y,l_t_x,l_t_y,l_l_x,l_l_y,l_b_x,l_b_y,r_c_x,r_c_y,r_r_x,r_r_y,r_t_x,r_t_y,r_l_x,r_l_y,r_b_x,r_b_y,x,y
285.270615,257.165966,291.31424,256.785192,284.448929,251.398687,278.962021,257.477245,286.011467,262.996731,355.921173,252.1766,361.514168,251.7871,354.922714,246.39327,350.167999,252.590303,356.856499,258.075686,1802.0,19.0
259.394264,258.361702,266.24939,258.508444,259.732342,252.075291,252.549381,258.249779,259.042778,264.680071,331.826668,258.841066,338.950691,258.875656,332.041321,252.466679,324.801826,258.699932,331.660919,265.254135,478.0,375.0
310.242825,268.643589,317.430401,268.219414,309.828339,262.415657,302.937946,269.052801,310.542297,274.974632,384.441109,264.854879,391.646118,264.679384,384.238319,258.141661,377.201729,264.932957,384.687653,271.493769,1106.0,353.0
305.336838,267.972994,311.863537,267.767143,305.393143,261.686382,298.825321,268.205566,305.278454,274.293137,377.109909,264.950123,384.522705,264.698439,377.047272,258.73229,369.788284,265.103102,377.189865,271.257849,371.0,325.0
206.305962,271.862526,212.7071,270.830498,205.533218,265.907307,199.942532,272.87982,207.077999,277.858915,276.046219,260.144491,282.888546,259.164076,275.139904,253.905687,269.331303,261.051693,276.991425,266.455708,566.0,25.0
200.062027,291.556377,206.310635,290.456429,199.143009,285.706787,193.803711,292.624741,200.93977,297.385826,272.820797,279.910583,280.500355,278.55566,271.829453,274.092264,265.212994,281.176472,273.849754,285.684071,544.0,881.0
301.648769,285.373421,306.828995,285.861311,302.248821,279.576759,296.126175,284.782333,300.915012,291.33462,370.971832,288.103523,376.708908,288.28763,371.142044,282.700253,365.153732,287.87673,370.775528,293.507795,1688.0,571.0
281.30827,284.365997,288.277512,283.936529,280.485344,278.466454,274.037514,284.778128,282.006683,290.322332,353.879166,276.268158,360.080414,275.501289,352.877426,270.245533,347.614746,276.982555,354.875908,282.262802,1564.0,417.0
248.238964,284.07589,255.530224,283.609743,247.91832,278.015413,240.95295,284.495459,248.538818,290.082836,322.590561,278.174829,330.204391,277.397861,322.109261,272.050695,315.016575,278.888311,323.06942,284.244261,611.0,1059.0
270.369644,263.640976,276.816597,262.960453,269.317341,257.642384,263.716545,264.225483,271.326637,269.635048,342.405243,256.182661,348.778458,255.554066,341.390953,249.963398,335.962906,256.805964,343.384476,262.372398,1566.0,89.0
324.038544,278.904877,330.718422,279.078941,324.334106,272.67374,317.339802,278.675165,323.721352,285.045576,398.211212,278.937206,406.414223,278.783798,398.251076,272.762089,390.044823,279.047184,398.178177,285.032444,464.0,1061.0
312.838593,260.896883,319.482803,261.087399,313.274479,254.878578,306.234741,260.72731,312.369404,266.967859,385.093803,261.768351,392.075958,261.858759,385.267334,255.423088,378.308907,261.491404,384.909248,268.142109,393.0,19.0
307.727661,177.055049,313.174725,176.849155,307.661209,171.764975,302.329884,177.269268,307.76886,182.370901,369.771996,173.289628,375.662842,173.333073,369.962654,167.806091,364.05777,173.171468,369.642601,178.875475,414.0,151.0
305.737495,210.51291,309.712963,209.878578,305.083351,206.709194,301.657448,210.969672,306.457767,214.151759,329.151192,207.460628,334.571075,207.98182,329.2733,202.958307,323.381004,207.052016,328.753014,212.228322,603.0,51.0
233.217735,287.250137,240.040894,288.757954,234.655304,281.175957,226.436081,285.693798,231.758232,293.299942,310.812931,303.058233,318.323917,304.641953,312.190418,296.710997,303.599548,301.373491,309.426708,309.41803,468.0,321.0
370.656738,247.3948,376.126251,248.82288,372.067909,242.275085,365.293846,246.042395,369.257851,252.475977,436.492233,261.400566,442.984238,262.988663,438.530807,256.114197,430.268402,259.787722,434.432449,266.825924,19.0,49.0
369.382133,257.919331,375.418091,258.910875,370.469666,252.132368,363.417206,256.906815,368.30101,263.611908,441.154366,268.933468,448.895798,270.576296,442.406883,262.573013,433.52993,267.23774,439.898224,275.267258,550.0,389.0
